sepal_length;sepal_width;petal_length;petal_width;species;
05.01;03.05;01.04;00.02;Iris-setosa;
04.09;3;01.04;00.02;Iris-setosa;
04.07;03.02;01.03;00.02;Iris-setosa;
04.06;03.01;01.05;00.02;Iris-setosa;
5;03.06;01.04;00.02;Iris-setosa;
05.04;03.09;01.07;00.04;Iris-setosa;
04.06;03.04;01.04;00.03;Iris-setosa;
5;03.04;01.05;00.02;Iris-setosa;
04.04;02.09;01.04;00.02;Iris-setosa;
04.09;03.01;01.05;00.01;Iris-setosa;
05.04;03.07;01.05;00.02;Iris-setosa;
04.08;03.04;01.06;00.02;Iris-setosa;
04.08;3;01.04;00.01;Iris-setosa;
04.03;3;01.01;00.01;Iris-setosa;
05.08;4;01.02;00.02;Iris-setosa;
05.07;04.04;01.05;00.04;Iris-setosa;
05.04;03.09;01.03;00.04;Iris-setosa;
05.01;03.05;01.04;00.03;Iris-setosa;
05.07;03.08;01.07;00.03;Iris-setosa;
05.01;03.08;01.05;00.03;Iris-setosa;
05.04;03.04;01.07;00.02;Iris-setosa;
05.01;03.07;01.05;00.04;Iris-setosa;
04.06;03.06;1;00.02;Iris-setosa;
05.01;03.03;01.07;00.05;Iris-setosa;
04.08;03.04;01.09;00.02;Iris-setosa;
5;3;01.06;00.02;Iris-setosa;
5;03.04;01.06;00.04;Iris-setosa;
05.02;03.05;01.05;00.02;Iris-setosa;
05.02;03.04;01.04;00.02;Iris-setosa;
04.07;03.02;01.06;00.02;Iris-setosa;
04.08;03.01;01.06;00.02;Iris-setosa;
05.04;03.04;01.05;00.04;Iris-setosa;
05.02;04.01;01.05;00.01;Iris-setosa;
05.05;04.02;01.04;00.02;Iris-setosa;
04.09;03.01;01.05;00.01;Iris-setosa;
5;03.02;01.02;00.02;Iris-setosa;
05.05;03.05;01.03;00.02;Iris-setosa;
04.09;03.01;01.05;00.01;Iris-setosa;
04.04;3;01.03;00.02;Iris-setosa;
05.01;03.04;01.05;00.02;Iris-setosa;
5;03.05;01.03;00.03;Iris-setosa;
04.05;02.03;01.03;00.03;Iris-setosa;
04.04;03.02;01.03;00.02;Iris-setosa;
5;03.05;01.06;00.06;Iris-setosa;
05.01;03.08;01.09;00.04;Iris-setosa;
04.08;3;01.04;00.03;Iris-setosa;
05.01;03.08;01.06;00.02;Iris-setosa;
04.06;03.02;01.04;00.02;Iris-setosa;
05.03;03.07;01.05;00.02;Iris-setosa;
5;03.03;01.04;00.02;Iris-setosa;
7;03.02;04.07;01.04;Iris-versicolor;
06.04;03.02;04.05;01.05;Iris-versicolor;
06.09;03.01;04.09;01.05;Iris-versicolor;
05.05;02.03;4;01.03;Iris-versicolor;
06.05;02.08;04.06;01.05;Iris-versicolor;
05.07;02.08;04.05;01.03;Iris-versicolor;
06.03;03.03;04.07;01.06;Iris-versicolor;
04.09;02.04;03.03;1;Iris-versicolor;
06.06;02.09;04.06;01.03;Iris-versicolor;
05.02;02.07;03.09;01.04;Iris-versicolor;
5;2;03.05;1;Iris-versicolor;
05.09;3;04.02;01.05;Iris-versicolor;
6;02.02;4;1;Iris-versicolor;
06.01;02.09;04.07;01.04;Iris-versicolor;
05.06;02.09;03.06;01.03;Iris-versicolor;
06.07;03.01;04.04;01.04;Iris-versicolor;
05.06;3;04.05;01.05;Iris-versicolor;
05.08;02.07;04.01;1;Iris-versicolor;
06.02;02.02;04.05;01.05;Iris-versicolor;
05.06;02.05;03.09;01.01;Iris-versicolor;
05.09;03.02;04.08;01.08;Iris-versicolor;
06.01;02.08;4;01.03;Iris-versicolor;
06.03;02.05;04.09;01.05;Iris-versicolor;
06.01;02.08;04.07;01.02;Iris-versicolor;
06.04;02.09;04.03;01.03;Iris-versicolor;
06.06;3;04.04;01.04;Iris-versicolor;
06.08;02.08;04.08;01.04;Iris-versicolor;
06.07;3;5;01.07;Iris-versicolor;
6;02.09;04.05;01.05;Iris-versicolor;
05.07;02.06;03.05;1;Iris-versicolor;
05.05;02.04;03.08;01.01;Iris-versicolor;
05.05;02.04;03.07;1;Iris-versicolor;
05.08;02.07;03.09;01.02;Iris-versicolor;
6;02.07;05.01;01.06;Iris-versicolor;
05.04;3;04.05;01.05;Iris-versicolor;
6;03.04;04.05;01.06;Iris-versicolor;
06.07;03.01;04.07;01.05;Iris-versicolor;
06.03;02.03;04.04;01.03;Iris-versicolor;
05.06;3;04.01;01.03;Iris-versicolor;
05.05;02.05;4;01.03;Iris-versicolor;
05.05;02.06;04.04;01.02;Iris-versicolor;
06.01;3;04.06;01.04;Iris-versicolor;
05.08;02.06;4;01.02;Iris-versicolor;
5;02.03;03.03;1;Iris-versicolor;
05.06;02.07;04.02;01.03;Iris-versicolor;
05.07;3;04.02;01.02;Iris-versicolor;
05.07;02.09;04.02;01.03;Iris-versicolor;
06.02;02.09;04.03;01.03;Iris-versicolor;
05.01;02.05;3;01.01;Iris-versicolor;
05.07;02.08;04.01;01.03;Iris-versicolor;
06.03;03.03;6;02.05;Iris-virginica;
05.08;02.07;05.01;01.09;Iris-virginica;
07.01;3;05.09;02.01;Iris-virginica;
06.03;02.09;05.06;01.08;Iris-virginica;
06.05;3;05.08;02.02;Iris-virginica;
07.06;3;06.06;02.01;Iris-virginica;
04.09;02.05;04.05;01.07;Iris-virginica;
07.03;02.09;06.03;01.08;Iris-virginica;
06.07;02.05;05.08;01.08;Iris-virginica;
07.02;03.06;06.01;02.05;Iris-virginica;
06.05;03.02;05.01;2;Iris-virginica;
06.04;02.07;05.03;01.09;Iris-virginica;
06.08;3;05.05;02.01;Iris-virginica;
05.07;02.05;5;2;Iris-virginica;
05.08;02.08;05.01;02.04;Iris-virginica;
06.04;03.02;05.03;02.03;Iris-virginica;
06.05;3;05.05;01.08;Iris-virginica;
07.07;03.08;06.07;02.02;Iris-virginica;
07.07;02.06;06.09;02.03;Iris-virginica;
6;02.02;5;01.05;Iris-virginica;
06.09;03.02;05.07;02.03;Iris-virginica;
05.06;02.08;04.09;2;Iris-virginica;
07.07;02.08;06.07;2;Iris-virginica;
06.03;02.07;04.09;01.08;Iris-virginica;
06.07;03.03;05.07;02.01;Iris-virginica;
07.02;03.02;6;01.08;Iris-virginica;
06.02;02.08;04.08;01.08;Iris-virginica;
06.01;3;04.09;01.08;Iris-virginica;
06.04;02.08;05.06;02.01;Iris-virginica;
07.02;3;05.08;01.06;Iris-virginica;
07.04;02.08;06.01;01.09;Iris-virginica;
07.09;03.08;06.04;2;Iris-virginica;
06.04;02.08;05.06;02.02;Iris-virginica;
06.03;02.08;05.01;01.05;Iris-virginica;
06.01;02.06;05.06;01.04;Iris-virginica;
07.07;3;06.01;02.03;Iris-virginica;
06.03;03.04;05.06;02.04;Iris-virginica;
06.04;03.01;05.05;01.08;Iris-virginica;
6;3;04.08;01.08;Iris-virginica;
06.09;03.01;05.04;02.01;Iris-virginica;
06.07;03.01;05.06;02.04;Iris-virginica;
06.09;03.01;05.01;02.03;Iris-virginica;
05.08;02.07;05.01;01.09;Iris-virginica;
06.08;03.02;05.09;02.03;Iris-virginica;
06.07;03.03;05.07;02.05;Iris-virginica;
06.07;3;05.02;02.03;Iris-virginica;
06.03;02.05;5;01.09;Iris-virginica;
06.05;3;05.02;2;Iris-virginica;
06.02;03.04;05.04;02.03;Iris-virginica;
05.09;3;05.01;01.08;Iris-virginica;
